s,sLabel,point,update,isil,jawp
http://www.wikidata.org/entity/Q61888341,吹田市立子育て青少年拠点夢つながり未来館山田駅前図書館山田分室,,2019-05-19T02:06:17Z,JP-1002215,
http://www.wikidata.org/entity/Q61888343,吹田市立さんくす図書館,,2019-05-19T02:06:19Z,JP-1002216,
http://www.wikidata.org/entity/Q61888344,吹田市立江坂図書館,,2019-05-19T02:06:22Z,JP-1002217,
http://www.wikidata.org/entity/Q61888345,吹田市立千里図書館北千里分室,,2019-05-19T02:06:25Z,JP-1002218,
http://www.wikidata.org/entity/Q61888347,泉大津市立図書館,,2019-05-19T02:06:30Z,JP-1002220,
http://www.wikidata.org/entity/Q61888349,貝塚市民図書館,,2019-05-19T02:06:32Z,JP-1002226,
http://www.wikidata.org/entity/Q61888351,守口市生涯学習情報センター,,2019-05-19T02:06:35Z,JP-1002227,
http://www.wikidata.org/entity/Q61888352,枚方市立香里ケ丘図書館,,2019-05-19T02:06:38Z,JP-1002228,
http://www.wikidata.org/entity/Q61888354,枚方市立菅原図書館,,2019-05-19T02:06:43Z,JP-1002230,
http://www.wikidata.org/entity/Q61888355,枚方市立蹉?図書館,,2019-05-19T02:06:45Z,JP-1002231,
http://www.wikidata.org/entity/Q61888357,枚方市立御殿山図書館,,2019-05-19T02:06:48Z,JP-1002232,
http://www.wikidata.org/entity/Q61888359,枚方市立牧野図書館,,2019-05-19T02:06:51Z,JP-1002233,
http://www.wikidata.org/entity/Q61888360,枚方市立津田図書館,,2019-05-19T02:06:53Z,JP-1002234,
http://www.wikidata.org/entity/Q61888365,泉佐野市立中央図書館,,2019-05-19T02:06:56Z,JP-1002244,
http://www.wikidata.org/entity/Q61888366,富田林市立中央図書館,,2019-05-19T02:06:58Z,JP-1002245,
http://www.wikidata.org/entity/Q61888369,寝屋川市立中央図書館,,2019-05-19T02:07:03Z,JP-1002247,
http://www.wikidata.org/entity/Q61888371,寝屋川市立東図書館,,2019-05-19T02:07:06Z,JP-1002248,
http://www.wikidata.org/entity/Q61888377,松原市民恵我図書館,,2019-05-19T02:07:19Z,JP-1002254,
http://www.wikidata.org/entity/Q61888379,松原市民三宅図書館,,2019-05-19T02:07:21Z,JP-1002255,
http://www.wikidata.org/entity/Q61888380,松原市民松原南図書館,,2019-05-19T02:07:24Z,JP-1002256,
http://www.wikidata.org/entity/Q61888381,大東市立中央図書館,,2019-05-19T02:07:26Z,JP-1002258,
http://www.wikidata.org/entity/Q61888382,大東市立西部図書館,,2019-05-19T02:07:29Z,JP-1002259,
http://www.wikidata.org/entity/Q61888383,和泉市立和泉図書館,,2019-05-19T02:07:31Z,JP-1002260,
http://www.wikidata.org/entity/Q61888384,和泉市立シティプラザ図書館,,2019-05-19T02:07:34Z,JP-1002261,
http://www.wikidata.org/entity/Q61888387,箕面市立桜ケ丘図書館,,2019-05-19T02:07:42Z,JP-1002264,
http://www.wikidata.org/entity/Q61888390,箕面市立萱野南図書館,,2019-05-19T02:07:44Z,JP-1002265,
http://www.wikidata.org/entity/Q61888391,箕面市立西南図書館,,2019-05-19T02:07:47Z,JP-1002266,
http://www.wikidata.org/entity/Q61888392,柏原市立柏原図書館,,2019-05-19T02:07:49Z,JP-1002267,
http://www.wikidata.org/entity/Q61888393,柏原市立国分図書館,,2019-05-19T02:07:52Z,JP-1002268,
http://www.wikidata.org/entity/Q61888394,羽曳野市立陵南の森図書館,,2019-05-19T02:07:55Z,JP-1002269,
http://www.wikidata.org/entity/Q61888395,羽曳野市立羽曳が丘図書館,,2019-05-19T02:07:57Z,JP-1002270,
http://www.wikidata.org/entity/Q61888396,羽曳野市立丹比図書館,,2019-05-19T02:08:00Z,JP-1002271,
http://www.wikidata.org/entity/Q61888397,羽曳野市立中央図書館,,2019-05-19T02:08:02Z,JP-1002272,
http://www.wikidata.org/entity/Q61888398,羽曳野市立東部図書館,,2019-05-19T02:08:05Z,JP-1002273,
http://www.wikidata.org/entity/Q61888400,門真市立図書館,,2019-05-19T02:08:08Z,JP-1002274,
http://www.wikidata.org/entity/Q61888403,高石市立図書館,,2019-05-19T02:08:15Z,JP-1002278,
http://www.wikidata.org/entity/Q61888404,高石市立図書館分館,,2019-05-19T02:08:18Z,JP-1002279,
http://www.wikidata.org/entity/Q61888408,東大阪市立四条図書館,,2019-05-19T02:08:25Z,JP-1002283,
http://www.wikidata.org/entity/Q61888409,泉南市立図書館,,2019-05-19T02:08:28Z,JP-1002285,
http://www.wikidata.org/entity/Q61888410,四條畷市立四條畷図書館,,2019-05-19T02:08:31Z,JP-1002286,
http://www.wikidata.org/entity/Q61888411,四條畷市立田原図書館,,2019-05-19T02:08:33Z,JP-1002287,
http://www.wikidata.org/entity/Q61888412,交野市立青年の家図書室,,2019-05-19T02:08:36Z,JP-1002288,
http://www.wikidata.org/entity/Q61888414,交野市立第1児童センター図書室,,2019-05-19T02:08:41Z,JP-1002290,
http://www.wikidata.org/entity/Q61888415,交野市立倉治図書館,,2019-05-19T02:08:43Z,JP-1002291,
http://www.wikidata.org/entity/Q61888416,大阪狭山市立図書館,,2019-05-19T02:08:46Z,JP-1002292,
http://www.wikidata.org/entity/Q61888417,阪南市立図書館,,2019-05-19T02:08:49Z,JP-1002293,
http://www.wikidata.org/entity/Q61888418,島本町立図書館,,2019-05-19T02:08:51Z,JP-1002294,
http://www.wikidata.org/entity/Q61888420,豊能町立図書館,,2019-05-19T02:08:54Z,JP-1002295,
http://www.wikidata.org/entity/Q61888421,忠岡町図書館,,2019-05-19T02:08:56Z,JP-1002296,
http://www.wikidata.org/entity/Q61888423,公益財団法人阪急文化財団池田文庫,,2019-05-19T02:09:01Z,JP-1002298,
http://www.wikidata.org/entity/Q61897809,岸和田市立旭図書館,,2019-05-19T03:21:53Z,JP-1004942,
http://www.wikidata.org/entity/Q61897814,吹田市立子育て青少年拠点夢つながり未来館山田駅前図書館,,2019-05-19T03:22:06Z,JP-1004947,
http://www.wikidata.org/entity/Q61897829,大東市立東部図書館,,2019-05-19T03:22:36Z,JP-1005306,
http://www.wikidata.org/entity/Q61897834,高槻市立中央図書館ミューズ子ども分室,,2019-05-19T03:22:47Z,JP-1005312,
http://www.wikidata.org/entity/Q61897883,羽曳野市立古市図書館,,2019-05-19T03:24:29Z,JP-1005801,
http://www.wikidata.org/entity/Q61897886,吹田市立千里丘図書館,,2019-05-19T03:24:35Z,JP-1005896,
http://www.wikidata.org/entity/Q61897896,高槻市立服部図書館,,2019-05-19T03:24:50Z,JP-1005906,
http://www.wikidata.org/entity/Q61897897,箕面市立小野原図書館,,2019-05-19T03:24:53Z,JP-1005907,
http://www.wikidata.org/entity/Q61899537,河南町立中央公民館図書室,,2019-05-19T04:11:26Z,JP-1006594,
http://www.wikidata.org/entity/Q61899538,太子町立図書室,,2019-05-19T04:11:29Z,JP-1006595,
http://www.wikidata.org/entity/Q61899539,田尻町立公民館図書室,,2019-05-19T04:11:32Z,JP-1006596,
http://www.wikidata.org/entity/Q61899540,千早赤阪村くすのきホール図書室,,2019-05-19T04:11:34Z,JP-1006597,
http://www.wikidata.org/entity/Q61899543,岬町立淡輪公民館図書室,,2019-05-19T04:11:37Z,JP-1006599,
http://www.wikidata.org/entity/Q61901141,寝屋川市立寝屋川市駅前図書館,,2019-05-19T04:24:45Z,JP-1007652,
http://www.wikidata.org/entity/Q61901156,岸和田市立八木図書館,,2019-05-19T04:25:03Z,JP-1007661,
http://www.wikidata.org/entity/Q61901158,岸和田市立桜台図書館,,2019-05-19T04:25:05Z,JP-1007662,
http://www.wikidata.org/entity/Q61901249,泉佐野市立佐野公民館図書室,,2019-05-19T04:27:22Z,JP-1007723,
http://www.wikidata.org/entity/Q61901254,泉佐野市立長南公民館図書室,,2019-05-19T04:27:25Z,JP-1007724,
http://www.wikidata.org/entity/Q61901256,富田林市立中央図書館東分室,,2019-05-19T04:27:27Z,JP-1007725,
http://www.wikidata.org/entity/Q61901260,富田林市立中央図書館喜志分室,,2019-05-19T04:27:30Z,JP-1007726,
http://www.wikidata.org/entity/Q61901266,豊能町立中央公民館図書室,,2019-05-19T04:27:32Z,JP-1007727,
http://www.wikidata.org/entity/Q61901313,和泉市立北部リージョンセンター図書室,,2019-05-19T05:13:01Z,JP-1007773,
